labels,text
1,"@SteinarStromber @AndreasAasheim @KnutBr @LaNaturenLeve Det er legitimt å være mot utbygging av landbasert vindkraft i Norge. Det er mange som er det.

Jeg tror likevel ikke det tjener saken du jobber for å komme med uriktige opplysninger om at vindkraft ikke betaler selskapsskatt og eiendomsskatt."
0,"RT @Fuglevern: Sammen mot vindkraft midt i fugletrekket, med @Naturvern m.fl.  https://t.co/bqZ6CVPuRN"
1,"@LaNaturenLeve @Vindenergi @Statkraft @Hegnar_no @JohnTande @NORWEA @SINTEFenergy - Som man kan se i Tabell 4-10 og Tabell 8-3 er utslippet redusert med 1,399 Mtonn i henholdt til
BASE-scenario.

Altså: 3 TWh norsk vindkraft, kutter i denne kjøringen 1,399 millioner tonn CO2.

Your move."
1,"RT @AndreasAasheim: Det kan innimellom virke som om mange er veldig i mot vindkraft.

Heldigvis er det ikke sant. Jeg vil nesten gå så lang…"
1,Demopark for 5 stk 6MW #hywind #flytende vindkraft planlagt i Skottland i produksjon i 2017 http://t.co/RQ03QSjfUm
0,"RT @jenskihl: Tenk at solceller på taket får dagbøter, medan vindmøller i urørt natur får statsstøtte. Det er ikkje heilt enkelt å forstå s…"
0,RT @Naturvern: Akkurat der utallige fugler trekker over Guleslettene i Sogn og Fjordane bygges det nå 47 store vindturbiner. De vil trolig…
1,@ThAOSteen Det har jo allerede blitt regnet ut hvor mange fugler katter dreper og hvor mange vindmøller dreper. Lett å finne balansen.
1,"Jeg peker på kart, snakker om nett og vind i Finnmark, og fnyser til og med litt. #MerNettErRett https://t.co/9xjtlNRYPI"
1,Statkrafts tredje vindpark i #Skottland satt i drift https://t.co/J28KZlRlm1 #klima #fornybar #vindkraft https://t.co/QJEfhwvjym
1,"Dersom Norge skal ha noensomhelst nubb på å nå noenlunde anstendige klimamål på egen kjøl, så må det elektrifiseres, elektrifiseres og elektrifiseres i transport, industri og oljegass #mdg #nve Vi har nok vindkraft til alle #norwea https://t.co/z4frZFKJUo"
0,"@PepsiGro Løsningen kommer i form av at vindkraft ikke går på nettet men konverteres til hydrogen og bitcoins. Begge deler med enormt energiforbruk, men hva gjør vel det, så lenge det gir fortsatt forbruksvekst?"
1,"Kanskje også til testing av mindre grid-connected vindmøller, det er et stort behov for de også. https://t.co/h8X8ldJ69Y"
0,@bareenmann Av nysgjerrighet. Hvordan forklarer Frp utbygging av vindkraft og strømkabler feks? .  Dette er store kostnader som rammer de fattigste.
0,"RT @politisk_agenda: Åtte av de ti største eierne av norsk vindkraft er utenlandske fond, med mange deleiere bak. De ser på norsk vind som…"
1,RT @TrulsGulowsen: Viktig og bra at MDG @Partiet ikke lar seg presse av oljenæringas ønsker om grønnvasking på fellesskapets og naturens be…
0,Et grønt jordskjelv: Statkraft dropper utbygging av vindkraft i Norge – Document https://t.co/mitq5otoe3
1,"Tøft, innovativt og fremtidsrettet av @norgesgruppen som vil bygge #vindmøller http://t.co/3FBGf9SENr #samfunnsansvar #miljø #energi"
1,Statsråden har ikke tro på flytende havvind.  Det har regjeringspartiet KrF https://t.co/2OMcKtrkgK @arbeiderpartiet @EspenBarthEide
1,"Buheii og Tysvær vi vindkraftpark  leverer kraft til Eramet's i Porsgrunn, Sauda og Kvinesdal.  Vindkraft sørger for konkurransedyktige kraftpriser @IndustriEnergi @NorskIndustri @SVparti https://t.co/ZbiTRggQSn"
1,@DahlbergHauge Spesielt om denne energien kommer fra vindmøller og vannkraft :)
1,Vil starte vindkraft-utbygging på Frøya i dag(pluss) https://t.co/NrZTu8qZY8
1,RT @SiriHaugum: @LaNaturenLeve @BergenTurlag @SABIMAnorge @VVandvik Storstilt vindindustri på land må stoppast. Havvind må sjølvsagt holde…
0,RT @CICERO_klima: For vertskommunene for #vindkraft er det viktig å få god og riktig informasjon om fordeler og ulemper og at man blir hørt…
1,"@SolumWhist @Nordie12 @NVE For øyeblikket har du rett,. Derimot har nå ett stort tysk selskap satt sine øyne på Norge. 
Stadtwerke München er nå den største investoren av vindkraft og fossefall i Midt-Norge og de bygger rett utenfor Oslo!
 https://t.co/rzQss3unwj"
1,"Nå er den her: Se @IselinNybo presentere Grønn plattform. 🌱 Bedrifter og institutter som utvikler løsninger innen batterier, hydrogen, havvind, sirkulærøkonomi eller annet kan nå søke støtte. Samarbeid mellom @forskningsradet @siva_sf @EnovaSF @InnovasjonNorge https://t.co/54lsBoGlQd"
1,"Vindkraft i Europa økte 11% i 2011. via @Earth_News
http://t.co/rHXfNvDv"
1,"RT @AndreasAasheim: Fort, få på noen gubber som kan fortelle mer om hvordan vindkraft og Energiewende ikke funker. https://t.co/OvY5r5EQ5M"
1,RT @kristinlinnerud: Sverige fjerner avgiftslette for #vindkraft i 2016. Det vil gi økt pris #sertifikater og mer utbygging i Norge. @Energ…
1,RT @GreenpeaceNorge: Det er rett og slett frekt av @EquinorASA og oljeindustrien å foreslå skatteendringer for å øke oljeproduksjonen i en…
